epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9676,2.76893,3.25861,1.90863,0.14869,0.08524,0.04654,0.0136,2.45104,4.8447,1.47238,0.000332282,0.000332282,0.0671041
2,118.015,2.6604,2.78005,1.87462,0.21414,0.14104,0.09156,0.02723,2.39048,3.86078,1.55815,0.000665453,0.000665453,0.0341039
3,176.505,2.62297,2.6777,1.84388,0.19029,0.17443,0.09408,0.02612,2.40876,6.46102,1.55081,0.000997973,0.000997973,0.00110313
4,234.932,2.60162,2.64163,1.83863,0.19632,0.19508,0.1115,0.031,2.2669,22.1966,1.44233,0.000997803,0.000997803,0.000997803
5,292.573,2.54479,2.52971,1.80694,0.11492,0.19288,0.05285,0.01526,2.29163,4.30738,1.46959,0.000996097,0.000996097,0.000996097
6,350.381,2.51705,2.46509,1.77407,0.27227,0.24077,0.16388,0.04828,2.25039,3.56568,1.43796,0.000993906,0.000993906,0.000993906
7,408.828,2.47842,2.42445,1.77191,0.33242,0.20303,0.16843,0.05287,2.29075,3.39708,1.46273,0.000991232,0.000991232,0.000991232
8,466.916,2.47468,2.35698,1.73389,0.27375,0.27021,0.18615,0.0551,2.21694,7.53908,1.43535,0.000988079,0.000988079,0.000988079
9,525.308,2.42196,2.30455,1.72097,0.21689,0.29262,0.11946,0.03344,2.21772,7.59035,1.44221,0.000984449,0.000984449,0.000984449
10,583.335,2.40121,2.30542,1.69724,0.21366,0.29701,0.1185,0.03361,2.24798,8.40073,1.4364,0.000980345,0.000980345,0.000980345
11,641.18,2.38859,2.22684,1.70018,0.3005,0.24692,0.17725,0.05503,2.20084,2.99035,1.41536,0.000975773,0.000975773,0.000975773
12,699.451,2.38741,2.24139,1.69428,0.3467,0.27548,0.1996,0.05815,2.20787,2.71535,1.41028,0.000970736,0.000970736,0.000970736
13,757.726,2.35786,2.15664,1.66958,0.38454,0.30773,0.25707,0.08053,2.19771,3.82687,1.41407,0.000965239,0.000965239,0.000965239
14,815.682,2.34007,2.17587,1.6678,0.3287,0.27021,0.20471,0.06047,2.19539,3.06983,1.42977,0.000959289,0.000959289,0.000959289
15,873.54,2.30527,2.12228,1.63992,0.41494,0.29965,0.25191,0.08125,2.14835,3.29291,1.38741,0.000952889,0.000952889,0.000952889
16,931.303,2.29225,2.05603,1.62324,0.36132,0.31019,0.24101,0.07684,2.15649,3.87467,1.41032,0.000946048,0.000946048,0.000946048
17,989.456,2.28875,2.0593,1.62176,0.38056,0.2812,0.25797,0.08175,2.19394,2.47046,1.40207,0.000938772,0.000938772,0.000938772
18,1047.39,2.25824,2.0258,1.61454,0.38702,0.31591,0.2654,0.08085,2.17606,7.3172,1.38384,0.000931067,0.000931067,0.000931067
19,1105.31,2.2599,2.00143,1.59301,0.41273,0.33195,0.27548,0.087,2.24178,3.44959,1.40269,0.000922942,0.000922942,0.000922942
20,1163.1,2.25291,1.96685,1.57586,0.40243,0.3304,0.27331,0.0872,2.17238,2.74268,1.38197,0.000914405,0.000914405,0.000914405
21,1221.07,2.23983,1.9461,1.58498,0.38655,0.34051,0.24141,0.07597,2.19616,2.59011,1.35968,0.000905463,0.000905463,0.000905463
22,1278.87,2.21637,1.92572,1.56381,0.39221,0.32689,0.27659,0.09393,2.12462,2.44387,1.34928,0.000896127,0.000896127,0.000896127
23,1336.75,2.19601,1.89536,1.55517,0.38746,0.36248,0.25923,0.08498,2.10864,3.40044,1.35244,0.000886404,0.000886404,0.000886404
24,1394.96,2.19332,1.88281,1.5696,0.46948,0.35413,0.31519,0.10651,2.16334,2.75269,1.34433,0.000876305,0.000876305,0.000876305
25,1452.99,2.15106,1.85064,1.53131,0.42518,0.35261,0.29433,0.09346,2.1195,3.12118,1.33647,0.000865839,0.000865839,0.000865839
26,1510.86,2.15363,1.81798,1.53438,0.46417,0.35105,0.31746,0.10759,2.156,2.59758,1.37202,0.000855018,0.000855018,0.000855018
27,1569.15,2.15654,1.79292,1.54632,0.43013,0.33304,0.28359,0.09091,2.17562,3.72251,1.40311,0.000843851,0.000843851,0.000843851
28,1627.06,2.13083,1.78274,1.50314,0.52829,0.40422,0.37232,0.1275,2.09075,2.94288,1.36084,0.000832349,0.000832349,0.000832349
29,1685.07,2.11305,1.75061,1.51427,0.46971,0.40466,0.36519,0.11939,2.12513,2.98665,1.3448,0.000820525,0.000820525,0.000820525
30,1742.63,2.09282,1.72482,1.50401,0.49452,0.39288,0.37365,0.12792,2.11162,2.96636,1.34462,0.000808389,0.000808389,0.000808389
31,1800.36,2.08424,1.71349,1.48557,0.51017,0.36975,0.36441,0.12924,2.12723,3.03813,1.35262,0.000795954,0.000795954,0.000795954
32,1858.09,2.08499,1.70255,1.48987,0.48357,0.38344,0.35367,0.11893,2.1089,2.26355,1.3326,0.000783231,0.000783231,0.000783231
33,1915.81,2.08874,1.66402,1.48409,0.47181,0.40729,0.37421,0.12826,2.10327,2.35761,1.35243,0.000770234,0.000770234,0.000770234
34,1973.62,2.04026,1.60898,1.46056,0.53395,0.4275,0.4002,0.13686,2.13179,2.25052,1.33394,0.000756976,0.000756976,0.000756976
35,2031.34,2.05447,1.63889,1.46414,0.49206,0.41125,0.36037,0.12383,2.15132,2.50191,1.37028,0.000743468,0.000743468,0.000743468
36,2088.97,2.00405,1.57533,1.4412,0.50036,0.38941,0.34944,0.12166,2.14002,2.4561,1.33675,0.000729725,0.000729725,0.000729725
37,2146.56,1.98477,1.5318,1.41666,0.55191,0.39851,0.36486,0.12545,2.08487,2.62541,1.32231,0.000715761,0.000715761,0.000715761
38,2204.59,1.99147,1.56306,1.40702,0.52204,0.42004,0.38819,0.13998,2.05977,2.98299,1.28983,0.000701588,0.000701588,0.000701588
39,2262.18,1.9774,1.52821,1.40046,0.53081,0.3761,0.36537,0.12536,2.10723,2.64141,1.33126,0.000687222,0.000687222,0.000687222
40,2319.95,1.97846,1.53857,1.41153,0.50843,0.38445,0.34077,0.12312,2.06399,3.17203,1.30198,0.000672675,0.000672675,0.000672675
41,2377.56,1.95217,1.48189,1.41122,0.53159,0.42633,0.39924,0.14481,2.0246,2.22157,1.27192,0.000657963,0.000657963,0.000657963
42,2435.2,1.94916,1.51044,1.40124,0.52909,0.44428,0.41466,0.15556,2.05075,2.47882,1.28338,0.000643101,0.000643101,0.000643101
43,2492.74,1.91763,1.45115,1.39184,0.52273,0.42926,0.38934,0.14238,2.05908,2.51525,1.31828,0.000628101,0.000628101,0.000628101
44,2550.29,1.93628,1.46861,1.3952,0.51017,0.42787,0.40709,0.15012,2.02358,2.09323,1.29981,0.000612981,0.000612981,0.000612981
45,2608.05,1.89295,1.43131,1.37029,0.54981,0.41037,0.39972,0.14814,2.00869,2.05471,1.29723,0.000597754,0.000597754,0.000597754
46,2665.47,1.9011,1.42803,1.37002,0.5445,0.48418,0.44066,0.16797,1.98408,2.6254,1.25411,0.000582435,0.000582435,0.000582435
47,2723.41,1.88045,1.40072,1.3557,0.5596,0.4464,0.43325,0.1664,2.05555,2.17209,1.3063,0.00056704,0.00056704,0.00056704
48,2780.88,1.86363,1.3435,1.35331,0.56731,0.46201,0.46398,0.18034,2.00788,1.85552,1.28639,0.000551584,0.000551584,0.000551584
49,2838.36,1.84655,1.34984,1.3322,0.5753,0.4565,0.42798,0.15892,2.04641,2.34771,1.31749,0.000536081,0.000536081,0.000536081
50,2895.91,1.84608,1.35622,1.34812,0.61255,0.44178,0.46458,0.1735,1.9852,2.20631,1.27526,0.000520548,0.000520548,0.000520548
51,2953.37,1.82804,1.34353,1.33428,0.61608,0.43924,0.45299,0.17942,1.94715,2.13029,1.27339,0.000505,0.000505,0.000505
52,3010.89,1.83084,1.33822,1.33048,0.57363,0.47232,0.45917,0.17542,2.02094,2.47614,1.28782,0.000489452,0.000489452,0.000489452
53,3068.21,1.80867,1.30288,1.32171,0.57387,0.45562,0.43639,0.17132,1.96318,2.26131,1.28175,0.000473919,0.000473919,0.000473919
54,3125.66,1.79607,1.29439,1.31781,0.63874,0.47891,0.48551,0.19246,1.97136,2.13925,1.27883,0.000458416,0.000458416,0.000458416
55,3183.01,1.76005,1.25381,1.2981,0.60462,0.50527,0.50629,0.20436,1.92369,2.16381,1.24024,0.00044296,0.00044296,0.00044296
56,3240.35,1.76245,1.24799,1.29708,0.64541,0.47744,0.49058,0.19315,1.91275,2.06114,1.24467,0.000427565,0.000427565,0.000427565
57,3298.01,1.75304,1.25591,1.29205,0.60431,0.49429,0.51848,0.20434,1.9347,2.1361,1.25848,0.000412246,0.000412246,0.000412246
58,3355.56,1.74575,1.24672,1.2934,0.62726,0.46581,0.47128,0.18984,1.93045,2.00335,1.2589,0.000397019,0.000397019,0.000397019
59,3412.88,1.73024,1.23141,1.29353,0.6214,0.47759,0.48835,0.19447,1.90414,1.94757,1.24529,0.000381899,0.000381899,0.000381899
60,3470.08,1.71904,1.20407,1.28022,0.61913,0.4855,0.48474,0.18785,1.93204,2.22257,1.25155,0.000366899,0.000366899,0.000366899
61,3527.6,1.69146,1.20401,1.28057,0.58856,0.47232,0.49023,0.19916,1.918,2.07295,1.25386,0.000352037,0.000352037,0.000352037
62,3585.06,1.70044,1.20096,1.27712,0.64166,0.47408,0.48898,0.20003,1.93095,2.02212,1.25014,0.000337325,0.000337325,0.000337325
63,3642.56,1.70333,1.19133,1.27483,0.62541,0.46728,0.47673,0.19573,1.90823,1.98729,1.2537,0.000322778,0.000322778,0.000322778
64,3699.98,1.68602,1.16325,1.26329,0.67165,0.48989,0.52,0.21038,1.9271,1.89948,1.26426,0.000308412,0.000308412,0.000308412
65,3757.28,1.68465,1.19332,1.26771,0.64693,0.49029,0.50845,0.20891,1.88487,1.97757,1.24127,0.000294239,0.000294239,0.000294239
66,3814.67,1.66353,1.16287,1.2494,0.65739,0.49149,0.51094,0.20871,1.90634,1.85983,1.24575,0.000280275,0.000280275,0.000280275
67,3872.66,1.66456,1.14782,1.23967,0.64168,0.49561,0.50119,0.2092,1.90799,1.90233,1.24709,0.000266532,0.000266532,0.000266532
68,3930.04,1.64287,1.12722,1.23636,0.64238,0.50747,0.50093,0.20689,1.89042,1.93599,1.23758,0.000253024,0.000253024,0.000253024
69,3987.49,1.63544,1.13587,1.24587,0.64471,0.51889,0.50756,0.21501,1.88597,1.87966,1.23428,0.000239766,0.000239766,0.000239766
70,4044.76,1.63147,1.11601,1.23078,0.65747,0.51582,0.52905,0.22186,1.88589,1.88111,1.23029,0.000226769,0.000226769,0.000226769
71,4102.14,1.6228,1.109,1.22427,0.65495,0.51714,0.53086,0.22255,1.87592,1.97519,1.22351,0.000214046,0.000214046,0.000214046
72,4159.57,1.6268,1.11922,1.22292,0.65394,0.52223,0.52051,0.21571,1.8589,1.88161,1.23361,0.000201611,0.000201611,0.000201611
73,4216.81,1.59753,1.09189,1.21339,0.63685,0.51011,0.50941,0.21187,1.84745,1.93299,1.23171,0.000189475,0.000189475,0.000189475
74,4274.27,1.59689,1.08509,1.21173,0.68997,0.51011,0.54064,0.23257,1.85772,1.82077,1.23868,0.000177651,0.000177651,0.000177651
75,4331.75,1.58484,1.10173,1.2142,0.66586,0.49868,0.52844,0.23205,1.85133,1.80192,1.22918,0.000166149,0.000166149,0.000166149
76,4389.08,1.58701,1.07821,1.19991,0.67378,0.50092,0.52044,0.22306,1.82873,1.89772,1.21479,0.000154982,0.000154982,0.000154982
77,4446.9,1.58413,1.0796,1.20645,0.6635,0.52109,0.53594,0.2307,1.82987,1.87615,1.21328,0.000144161,0.000144161,0.000144161
78,4504.05,1.56962,1.08337,1.20725,0.68128,0.50308,0.52823,0.22764,1.8322,1.85468,1.21688,0.000133695,0.000133695,0.000133695
79,4561.21,1.55943,1.07522,1.20178,0.67691,0.48696,0.51407,0.22439,1.83905,1.86183,1.21505,0.000123596,0.000123596,0.000123596
80,4618.46,1.53636,1.04184,1.18278,0.64485,0.529,0.53545,0.237,1.82446,1.85568,1.21692,0.000113873,0.000113873,0.000113873
